type,year,quadrillion_btu
Biomass Energy,1973,1.529068
Biomass Energy,1974,1.539662
Biomass Energy,1975,1.498733
Biomass Energy,1976,1.713373
Biomass Energy,1977,1.838331
Biomass Energy,1978,2.037605
Biomass Energy,1979,2.151906
Biomass Energy,1980,2.475498
Biomass Energy,1981,2.596282
Biomass Energy,1982,2.663453
Biomass Energy,1983,2.904415
Biomass Energy,1984,2.971119
Biomass Energy,1985,3.016234
Biomass Energy,1986,2.932093
Biomass Energy,1987,2.874886
Biomass Energy,1988,3.01605
Biomass Energy,1989,3.159357
Biomass Energy,1990,2.735112
Biomass Energy,1991,2.781798
Biomass Energy,1992,2.931678
Biomass Energy,1993,2.908446
Biomass Energy,1994,3.027534
Biomass Energy,1995,3.099081
Biomass Energy,1996,3.1553
Biomass Energy,1997,3.1079090000000003
Biomass Energy,1998,2.928928
Biomass Energy,1999,2.965132
Biomass Energy,2000,3.0056599999999998
Biomass Energy,2001,2.624164
Biomass Energy,2002,2.705407
Biomass Energy,2003,2.804776
Biomass Energy,2004,2.9960180000000003
Biomass Energy,2005,3.101186
Biomass Energy,2006,3.211514
Biomass Energy,2007,3.4720779999999998
Biomass Energy,2008,3.868251
Biomass Energy,2009,3.9566179999999997
Biomass Energy,2010,4.552531
Biomass Energy,2011,4.7124369999999995
Biomass Energy,2012,4.553559
Biomass Energy,2013,4.834796
Biomass Energy,2014,5.052102
Biomass Energy,2015,5.0313479999999995
Biomass Energy,2016,5.131769
Biomass Energy,2017,5.165727
Biomass Energy,2018,5.314166
Biomass Energy,2019,5.215023
Biomass Energy,2020,4.805459
Biomass Energy,2021,5.033275
Biomass Energy,2022,4.673869
Coal,1973,13.992124
Coal,1974,14.074449999999999
Coal,1975,14.989316
Coal,1976,15.653687
Coal,1977,15.754742
Coal,1978,14.909809
Coal,1979,17.539584
Coal,1980,18.597726
Coal,1981,18.376774
Coal,1982,18.63875
Coal,1983,17.246671
Coal,1984,19.719216
Coal,1985,19.325166
Coal,1986,19.509466
Coal,1987,20.141104
Coal,1988,20.737639
Coal,1989,21.360177
Coal,1990,22.487549
Coal,1991,21.636425
Coal,1992,21.694133
Coal,1993,20.335653
Coal,1994,22.202083000000002
Coal,1995,22.129551
Coal,1996,22.790149
Coal,1997,23.309614
Coal,1998,24.045199
Coal,1999,23.295085
Coal,2000,22.735479
Coal,2001,23.547077
Coal,2002,22.732236999999998
Coal,2003,22.093651
Coal,2004,22.8521
Coal,2005,23.185189
Coal,2006,23.789511
Coal,2007,23.492743
Coal,2008,23.851366
Coal,2009,21.623721
Coal,2010,22.038226
Coal,2011,22.221407
Coal,2012,20.676894
Coal,2013,20.001304
Coal,2014,20.285706
Coal,2015,17.946096
Coal,2016,14.667088
Coal,2017,15.625377
Coal,2018,15.363443
Coal,2019,14.255762
Coal,2020,10.703214
Coal,2021,11.596283
Coal,2022,11.055251
Crude Oil,1973,19.493237
Crude Oil,1974,18.574993
Crude Oil,1975,17.729319
Crude Oil,1976,17.261843
Crude Oil,1977,17.453737
Crude Oil,1978,18.433652
Crude Oil,1979,18.103597
Crude Oil,1980,18.248918
Crude Oil,1981,18.146017999999998
Crude Oil,1982,18.308945
Crude Oil,1983,18.391794
Crude Oil,1984,18.848239
Crude Oil,1985,18.992406
Crude Oil,1986,18.37586
Crude Oil,1987,17.674786
Crude Oil,1988,17.27893
Crude Oil,1989,16.116883
Crude Oil,1990,15.571188
Crude Oil,1991,15.700827
Crude Oil,1992,15.222864
Crude Oil,1993,14.494388
Crude Oil,1994,14.102565
Crude Oil,1995,13.886756
Crude Oil,1996,13.722896
Crude Oil,1997,13.65802
Crude Oil,1998,13.235134
Crude Oil,1999,12.451042
Crude Oil,2000,12.358098
Crude Oil,2001,12.281565
Crude Oil,2002,12.160212
Crude Oil,2003,11.959569
Crude Oil,2004,11.550086
Crude Oil,2005,10.974152
Crude Oil,2006,10.766776
Crude Oil,2007,10.741446
Crude Oil,2008,10.613304
Crude Oil,2009,11.340124
Crude Oil,2010,11.610472
Crude Oil,2011,12.012295
Crude Oil,2012,13.84866
Crude Oil,2013,15.871824
Crude Oil,2014,18.615619
Crude Oil,2015,19.701841
Crude Oil,2016,18.529021
Crude Oil,2017,19.550483
Crude Oil,2018,22.812423
Crude Oil,2019,25.612482
Crude Oil,2020,23.573698
Crude Oil,2021,23.372157
Crude Oil,2022,22.542659999999998
Geothermal Energy,1973,0.020422
Geothermal Energy,1974,0.025611000000000002
Geothermal Energy,1975,0.03378
Geothermal Energy,1976,0.037513
Geothermal Energy,1977,0.037383
Geothermal Energy,1978,0.030851
Geothermal Energy,1979,0.040259
Geothermal Energy,1980,0.052699
Geothermal Energy,1981,0.059436
Geothermal Energy,1982,0.050628
Geothermal Energy,1983,0.063911
Geothermal Energy,1984,0.080809
Geothermal Energy,1985,0.09742
Geothermal Energy,1986,0.107676
Geothermal Energy,1987,0.11226799999999999
Geothermal Energy,1988,0.106338
Geothermal Energy,1989,0.161541
Geothermal Energy,1990,0.170746
Geothermal Energy,1991,0.177626
Geothermal Energy,1992,0.178698
Geothermal Energy,1993,0.185674
Geothermal Energy,1994,0.173464
Geothermal Energy,1995,0.152057
Geothermal Energy,1996,0.163359
Geothermal Energy,1997,0.166697
Geothermal Energy,1998,0.16845
Geothermal Energy,1999,0.170921
Geothermal Energy,2000,0.164364
Geothermal Energy,2001,0.16446
Geothermal Energy,2002,0.171164
Geothermal Energy,2003,0.173444
Geothermal Energy,2004,0.178147
Geothermal Energy,2005,0.180701
Geothermal Energy,2006,0.1812
Geothermal Energy,2007,0.185774
Geothermal Energy,2008,0.192433
Geothermal Energy,2009,0.200186
Geothermal Energy,2010,0.207978
Geothermal Energy,2011,0.21231
Geothermal Energy,2012,0.211593
Geothermal Energy,2013,0.214007
Geothermal Energy,2014,0.214475
Geothermal Energy,2015,0.211757
Geothermal Energy,2016,0.20954
Geothermal Energy,2017,0.210156
Geothermal Energy,2018,0.20876899999999998
Geothermal Energy,2019,0.20119199999999998
Geothermal Energy,2020,0.202804
Geothermal Energy,2021,0.204765
Geothermal Energy,2022,0.194647
Hydroelectric Power,1973,2.861449
